animal_ID,exp. ID,date,water start,water end,ad lib start,ad lib end,,,,,,,,,,
SC02,Sharbat,14/05/2019,12:04,13:04,,,,,,,,,,,,
VP01,Viktor,14/05/2019,12:04,13:04,,,,,,,,,,,,
VP02,Viktor,14/05/2019,12:04,13:04,,,,,,,,,,,,
AA03,Athena,14/05/2019,12:04,13:04,,,,,,,,,,,,
AA04,Athena,14/05/2019,12:04,13:04,,,,,,,,,,,,
DO03,Dammy,14/05/2019,12:04,13:04,,,,,,,,,,,,
DO04,Dammy,14/05/2019,12:04,13:04,,,,,,,,,,,,
SC03,Sharbat,14/05/2019,12:04,13:04,,,,,,,,,,,,
SC04,Sharbat,14/05/2019,14:54,15:54,,,,,,,,,,,,
VP03,Viktor,14/05/2019,14:54,15:54,,,,,,,,,,,,
VP04,Viktor,14/05/2019,14:54,15:54,,,,,,,,,,,,
AA05,Athena,14/05/2019,14:54,15:54,,,,,,,,,,,,
AA06,Athena,14/05/2019,14:54,15:54,,,,,,,,,,,,
DO05,Dammy,14/05/2019,14:54,15:54,,,,,,,,,,,,
DO06,Dammy,14/05/2019,14:54,15:54,,,,,,,,,,,,
SC05,Sharbat,14/05/2019,14:54,15:54,,,,,,,,,,,,
SC06,Sharbat,14/05/2019,14:54,15:54,,,,,,,,,,,,
VP05,Viktor,14/05/2019,14:54,15:54,,,,,,,,,,,,
VP06,Viktor,14/05/2019,14:54,15:54,,,,,,,,,,,,
AA07,Athena,14/05/2019,14:54,15:54,,,,,,,,,,,,
AA08,Athena,14/05/2019,16:21,17:21,,,,,,,,,,,,
DO07,Dammy,14/05/2019,16:21,17:21,,,,,,,,,,,,
DO08,Dammy,14/05/2019,16:21,17:21,,,,,,,,,,,,
VP07,Viktor,14/05/2019,16:21,17:21,,,,,,,,,,,,
VP08,Viktor,14/05/2019,16:21,17:21,,,,,,,,,,,,
AA01,Athena,14/05/2019,16:21,17:21,,,,,,,,,,,,
AA02,Athena,15/05/2019,12:00,13:00,,,,,,,,,,,,
DO01,Dammy,15/05/2019,12:00,13:00,,,,,,,,,,,,
DO02,Dammy,15/05/2019,12:00,13:00,,,,,,,,,,,,
SC01,Sharbat,15/05/2019,12:00,13:00,,,,,,,,,,,,
SC02,Sharbat,15/05/2019,12:00,13:00,,,,,,,,,,,,
VP01,Viktor,15/05/2019,12:00,13:00,,,,,,,,,,,,
VP02,Viktor,15/05/2019,12:00,13:00,,,,,,,,,,,,
AA03,Athena,15/05/2019,12:00,13:00,,,,,,,,,,,,
AA04,Athena,15/05/2019,12:00,13:00,,,,,,,,,,,,
DO03,Dammy,15/05/2019,12:00,13:00,,,,,,,,,,,,
DO04,Dammy,15/05/2019,12:00,13:00,,,,,,,,,,,,
SC03,Sharbat,15/05/2019,12:00,13:00,,,,,,,,,,,,
SC04,Sharbat,15/05/2019,14:55,15:55,,,,,,,,,,,,
VP03,Viktor,15/05/2019,14:55,15:55,,,,,,,,,,,,
VP04,Viktor,15/05/2019,14:55,15:55,,,,,,,,,,,,
AA05,Athena,15/05/2019,14:55,15:55,,,,,,,,,,,,
AA06,Athena,15/05/2019,14:55,15:55,,,,,,,,,,,,
DO05,Dammy,15/05/2019,14:55,15:55,,,,,,,,,,,,
DO06,Dammy,15/05/2019,14:55,15:55,,,,,,,,,,,,
SC05,Sharbat,15/05/2019,14:55,15:55,,,,,,,,,,,,
SC06,Sharbat,15/05/2019,14:55,15:55,,,,,,,,,,,,
VP05,Viktor,15/05/2019,14:55,15:55,,,,,,,,,,,,
VP06,Viktor,15/05/2019,14:55,15:55,,,,,,,,,,,,
AA07,Athena,15/05/2019,14:55,15:55,,,,,,,,,,,,
AA08,Athena,15/05/2019,16:16,17:16,,,,,,,,,,,,
DO07,Dammy,15/05/2019,16:16,17:16,,,,,,,,,,,,
DO08,Dammy,15/05/2019,16:16,17:16,,,,,,,,,,,,
VP07,Viktor,15/05/2019,16:16,17:16,,,,,,,,,,,,
VP08,Viktor,15/05/2019,16:16,17:16,,,,,,,,,,,,
AA01,Athena,15/05/2019,16:16,17:16,,,,,,,,,,,,
